,DATA.TYPE,YEAR,ICPR.STATE.CODE,STATE.NAME,850SLAVE.FEMALES.00-01(UNDER.01),850SLAVE.FEMALES.01.04,850SLAVE.FEMALES.05.09,850SLAVE.FEMALES.10.14,850SLAVE.FEMALES.15.19,850SLAVE.FEMALES.20.29,850SLAVE.FEMALES.30.39,850SLAVE.FEMALES.40.49,850SLAVE.FEMALES.50.59,850SLAVE.FEMALES.60.69,850SLAVE.FEMALES.70.79,850SLAVE.FEMALES.80.89,850SLAVE.FEMALES.90.99,850SLAVE.FEMALES.99.AND.OVER,850SLAVE.FEMALES.AGE.UKWN,850SLAVE.MALES.00.01(UNDER.01),850SLAVE.MALES.01.04,850SLAVE.MALES.05.09,850SLAVE.MALES.10.14,850SLAVE.MALES.15.19,850SLAVE.MALES.20.29,850SLAVE.MALES.30.39,850SLAVE.MALES.40.49,850SLAVE.MALES.50.59,850SLAVE.MALES.60.69,850SLAVE.MALES.70.79,850SLAVE.MALES.80.89,850SLAVE.MALES.90.99,850SLAVE.MALES.99.AND.OVER,850SLAVE.MALES.AGE.UKWN,850TOTAL.SLAVE.FEMALES,850TOTAL.SLAVE.MALES
1,S,850,1,CONNECTICUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,S,850,2,MAINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,S,850,3,MASSACHUSETTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,S,850,4,"NEW HAMPSHIRE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,S,850,5,"RHODE ISLAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,S,850,6,VERMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,S,850,11,DELAWARE,32,148,178,194,151,243,84,43,22,11,7,2,0,1,0,27,155,223,205,219,212,67,31,20,8,6,0,0,1,0,1116,1174
89,S,850,12,"NEW JERSEY",0,0,2,2,2,1,0,9,38,42,31,7,5,0,1,0,0,1,2,5,10,0,2,21,27,17,9,2,0,0,140,96
125,S,850,13,"NEW YORK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,S,850,14,PENNSYLVANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,S,850,21,ILLINOIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,S,850,22,INDIANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,S,850,23,MICHIGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,S,850,24,OHIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,S,850,25,WISCONSIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,S,850,31,IOWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,S,850,33,MINNESOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,S,850,34,MISSOURI,1334,6684,6845,6358,5400,7988,4300,2779,1291,632,220,65,25,9,8,1365,6420,7090,6492,5395,8623,3902,2278,1136,535,141,63,25,8,11,43938,43484
865,S,850,40,VIRGINIA,5814,32687,34897,32331,24659,36974,24240,17514,10850,6981,3264,1196,334,184,41,5341,32419,35356,33883,25584,39991,25435,18416,12138,7614,3028,958,263,87,49,231966,240562
877,S,850,41,ALABAMA,4118,25687,25671,22260,19871,31208,19514,11779,6030,3451,959,338,93,61,0,3992,25471,25724,23190,18989,31658,19636,11433,6368,3774,1068,338,97,65,1,171040,171804
931,S,850,42,ARKANSAS,619,3573,3546,3179,2765,4684,2612,1421,580,339,88,24,6,5,1,540,3475,3480,3389,2745,4930,2528,1415,653,378,75,30,11,9,0,23442,23658
988,S,850,43,FLORIDA,451,2918,2874,2442,2087,3681,2312,1340,798,397,126,45,21,14,0,463,2840,2889,2507,1974,3878,2277,1344,895,474,141,45,22,15,40,19506,19804
1045,S,850,44,GEORGIA,4889,28070,28711,26749,23072,34590,20427,13006,6560,4544,1430,519,162,79,17,4730,27984,28941,26834,21865,33959,19146,12100,6584,4585,1399,480,142,81,27,192825,188857
1130,S,850,45,LOUISIANA,2591,14814,15009,13410,11799,23971,18415,10550,4864,2388,771,225,59,66,3,2349,14260,14874,13865,11151,26047,20250,12690,5955,3032,937,319,81,57,7,118935,125874
1190,S,850,46,MISSISSIPPI,3788,23417,23106,19812,17087,30021,18986,9933,4390,2839,727,243,85,73,119,3611,22705,23240,20666,16611,29915,18565,9996,4854,3139,825,288,85,47,127,154626,154674
1269,S,850,47,"NORTH CAROLINA",4064,22043,23536,19860,15800,23536,13927,8631,6327,3606,1665,658,202,98,14,4022,21891,23400,20711,15710,23969,13687,8444,6814,3637,1520,570,132,66,8,143967,144581
1320,S,850,48,"SOUTH CAROLINA",4744,28229,28131,24825,21875,33472,22938,14513,8750,5502,2022,638,200,86,1303,4450,27019,27069,24890,20521,31745,20583,13138,8771,5426,2008,613,154,81,1288,197228,187756
1396,S,850,49,TEXAS,724,4366,4504,4091,3442,5683,3449,1878,829,332,93,34,12,10,14,705,4406,4356,4152,3175,5585,3131,1750,898,373,100,40,12,6,11,29461,28700
1462,S,850,51,KENTUCKY,3245,15311,16828,15203,12695,17627,10422,7156,3985,2123,913,255,94,53,8,3023,14952,16761,15602,12370,19031,10325,6520,3744,1819,621,198,61,28,8,105918,105063
1521,S,850,52,MARYLAND,1203,5931,6712,6400,5466,7443,4500,2931,1850,1175,510,196,74,31,2,1243,5961,6902,6963,5643,8092,4269,2953,1926,1187,549,190,41,24,1,44424,45944
1600,S,850,54,TENNESSEE,3609,18075,19087,17252,14621,21064,11984,7115,4468,2137,833,287,98,47,2,3452,17620,18647,17889,14004,21709,11370,6550,4421,2050,719,233,82,31,3,120679,118780
1612,S,850,71,CALIFORNIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
