"DATA.TYPE","YEAR","ICPR.STATE.CODE","STATE.NAME","variable","value"
"S",860,1,"CONNECTICUT","X860SLAVE.FEMALES.00.01.UNDER.1.",NA
"S",860,2,"MAINE","X860SLAVE.FEMALES.00.01.UNDER.1.",NA
"S",860,3,"MASSACHUSETTS","X860SLAVE.FEMALES.00.01.UNDER.1.",NA
"S",860,4,"NEW HAMPSHIRE","X860SLAVE.FEMALES.00.01.UNDER.1.",NA
"S",860,5,"RHODE ISLAND","X860SLAVE.FEMALES.00.01.UNDER.1.",NA
"S",860,6,"VERMONT","X860SLAVE.FEMALES.00.01.UNDER.1.",NA
"S",860,11,"DELAWARE","X860SLAVE.FEMALES.00.01.UNDER.1.",28
"S",860,12,"NEW JERSEY","X860SLAVE.FEMALES.00.01.UNDER.1.",0
"S",860,13,"NEW YORK","X860SLAVE.FEMALES.00.01.UNDER.1.",NA
"S",860,14,"PENNSYLVANIA","X860SLAVE.FEMALES.00.01.UNDER.1.",NA
"S",860,21,"ILLINOIS","X860SLAVE.FEMALES.00.01.UNDER.1.",NA
"S",860,22,"INDIANA","X860SLAVE.FEMALES.00.01.UNDER.1.",NA
"S",860,23,"MICHIGAN","X860SLAVE.FEMALES.00.01.UNDER.1.",NA
"S",860,24,"OHIO","X860SLAVE.FEMALES.00.01.UNDER.1.",NA
"S",860,25,"WISCONSIN","X860SLAVE.FEMALES.00.01.UNDER.1.",NA
"S",860,31,"IOWA","X860SLAVE.FEMALES.00.01.UNDER.1.",NA
"S",860,32,"KANSAS","X860SLAVE.FEMALES.00.01.UNDER.1.",0
"S",860,33,"MINNESOTA","X860SLAVE.FEMALES.00.01.UNDER.1.",NA
"S",860,34,"MISSOURI","X860SLAVE.FEMALES.00.01.UNDER.1.",1805
"S",860,35,"NEBRASKA","X860SLAVE.FEMALES.00.01.UNDER.1.",0
"S",860,40,"VIRGINIA","X860SLAVE.FEMALES.00.01.UNDER.1.",7079
"S",860,41,"ALABAMA","X860SLAVE.FEMALES.00.01.UNDER.1.",6400
"S",860,42,"ARKANSAS","X860SLAVE.FEMALES.00.01.UNDER.1.",1743
"S",860,43,"FLORIDA","X860SLAVE.FEMALES.00.01.UNDER.1.",883
"S",860,44,"GEORGIA","X860SLAVE.FEMALES.00.01.UNDER.1.",7137
"S",860,45,"LOUISIANA","X860SLAVE.FEMALES.00.01.UNDER.1.",4239
"S",860,46,"MISSISSIPPI","X860SLAVE.FEMALES.00.01.UNDER.1.",6114
"S",860,47,"NORTH CAROLINA","X860SLAVE.FEMALES.00.01.UNDER.1.",4768
"S",860,48,"SOUTH CAROLINA","X860SLAVE.FEMALES.00.01.UNDER.1.",5916
"S",860,49,"TEXAS","X860SLAVE.FEMALES.00.01.UNDER.1.",2853
"S",860,51,"KENTUCKY","X860SLAVE.FEMALES.00.01.UNDER.1.",3673
"S",860,52,"MARYLAND","X860SLAVE.FEMALES.00.01.UNDER.1.",1223
"S",860,54,"TENNESSEE","X860SLAVE.FEMALES.00.01.UNDER.1.",4499
"S",860,65,"NEVADA","X860SLAVE.FEMALES.00.01.UNDER.1.",NA
"S",860,71,"CALIFORNIA","X860SLAVE.FEMALES.00.01.UNDER.1.",NA
"S",860,72,"OREGON","X860SLAVE.FEMALES.00.01.UNDER.1.",NA
"S",860,1,"CONNECTICUT","X860SLAVE.FEMALES.01.04",NA
"S",860,2,"MAINE","X860SLAVE.FEMALES.01.04",NA
"S",860,3,"MASSACHUSETTS","X860SLAVE.FEMALES.01.04",NA
"S",860,4,"NEW HAMPSHIRE","X860SLAVE.FEMALES.01.04",NA
"S",860,5,"RHODE ISLAND","X860SLAVE.FEMALES.01.04",NA
"S",860,6,"VERMONT","X860SLAVE.FEMALES.01.04",NA
"S",860,11,"DELAWARE","X860SLAVE.FEMALES.01.04",114
"S",860,12,"NEW JERSEY","X860SLAVE.FEMALES.01.04",0
"S",860,13,"NEW YORK","X860SLAVE.FEMALES.01.04",NA
"S",860,14,"PENNSYLVANIA","X860SLAVE.FEMALES.01.04",NA
"S",860,21,"ILLINOIS","X860SLAVE.FEMALES.01.04",NA
"S",860,22,"INDIANA","X860SLAVE.FEMALES.01.04",NA
"S",860,23,"MICHIGAN","X860SLAVE.FEMALES.01.04",NA
"S",860,24,"OHIO","X860SLAVE.FEMALES.01.04",NA
"S",860,25,"WISCONSIN","X860SLAVE.FEMALES.01.04",NA
"S",860,31,"IOWA","X860SLAVE.FEMALES.01.04",NA
"S",860,32,"KANSAS","X860SLAVE.FEMALES.01.04",0
"S",860,33,"MINNESOTA","X860SLAVE.FEMALES.01.04",NA
"S",860,34,"MISSOURI","X860SLAVE.FEMALES.01.04",8584
"S",860,35,"NEBRASKA","X860SLAVE.FEMALES.01.04",0
"S",860,40,"VIRGINIA","X860SLAVE.FEMALES.01.04",32586
"S",860,41,"ALABAMA","X860SLAVE.FEMALES.01.04",30495
"S",860,42,"ARKANSAS","X860SLAVE.FEMALES.01.04",7638
"S",860,43,"FLORIDA","X860SLAVE.FEMALES.01.04",4255
"S",860,44,"GEORGIA","X860SLAVE.FEMALES.01.04",33235
"S",860,45,"LOUISIANA","X860SLAVE.FEMALES.01.04",18857
"S",860,46,"MISSISSIPPI","X860SLAVE.FEMALES.01.04",29198
"S",860,47,"NORTH CAROLINA","X860SLAVE.FEMALES.01.04",24181
