midAge10,agesex,sex,loAge,hiAge,N1850,N1860,midAge,agesex_2,sex_2,loAge_2,hiAge_2,N1850_2,N1860_2,midAge10_2,surv5060
12.0,FEMALES.0.4,FEMALES,0,4,273178.0,330849.0,2.0,FEMALES.10.14,FEMALES,10,14,214368.0,264002.0,22.0,0.9664101794434398
17.0,FEMALES.05.09,FEMALES,5,9,239637.0,288449.0,7.0,FEMALES.15.19,FEMALES,15,19,180792.0,228178.0,27.0,0.9521818417022413
24.5,FEMALES.10.19,FEMALES,10,19,395160.0,492180.0,14.5,FEMALES.20.29,FEMALES,20,29,282186.0,342680.0,34.5,0.8671930357323616
34.5,FEMALES.20.29,FEMALES,20,29,282186.0,342680.0,24.5,FEMALES.30.39,FEMALES,30,39,178110.0,220299.0,44.5,0.7806872063107312
44.5,FEMALES.30.39,FEMALES,30,39,178110.0,220299.0,34.5,FEMALES.40.49,FEMALES,40,49,110598.0,138824.0,54.5,0.7794284430969626
54.5,FEMALES.40.49,FEMALES,40,49,110598.0,138824.0,44.5,FEMALES.50.59,FEMALES,50,59,61632.0,75789.0,64.5,0.6852655563391743
64.5,FEMALES.50.59,FEMALES,50,59,61632.0,75789.0,54.5,FEMALES.60.69,FEMALES,60,69,36499.0,44044.0,74.5,0.714628764278297
74.5,FEMALES.60.69,FEMALES,60,69,36499.0,44044.0,64.5,FEMALES.70.79,FEMALES,70,79,13659.0,15694.0,84.5,0.4299843831337845
84.5,FEMALES.70.79,FEMALES,70,79,13659.0,15694.0,74.5,FEMALES.80.89,FEMALES,80,89,4732.0,5323.0,94.5,0.3897064206750128
94.5,FEMALES.80.89,FEMALES,80,89,4732.0,5323.0,84.5,FEMALES.90.99,FEMALES,90,99,1470.0,1714.0,104.5,0.3622147083685545
104.5,FEMALES.90.99,FEMALES,90,99,1470.0,1714.0,94.5,FEMALES.99.110,FEMALES,99,110,817.0,899.0,114.5,0.6115646258503401
12.0,MALES.0.4,MALES,0,4,266891.0,321961.0,2.0,MALES.10.14,MALES,10,14,221240.0,276715.0,22.0,1.036809034399811
17.0,MALES.05.09,MALES,5,9,238953.0,287135.0,7.0,MALES.15.19,MALES,15,19,175961.0,220215.0,27.0,0.9215829054249162
24.5,MALES.10.19,MALES,10,19,397201.0,496930.0,14.5,MALES.20.29,MALES,20,29,289354.0,354818.0,34.5,0.8932958376237723
34.5,MALES.20.29,MALES,20,29,289354.0,354818.0,24.5,MALES.30.39,MALES,30,39,175171.0,218234.0,44.5,0.7542111047367585
44.5,MALES.30.39,MALES,30,39,175171.0,218234.0,34.5,MALES.40.49,MALES,40,49,109060.0,140706.0,54.5,0.8032493963041828
54.5,MALES.40.49,MALES,40,49,109060.0,140706.0,44.5,MALES.50.59,MALES,50,59,65198.0,79720.0,64.5,0.7309737759031726
64.5,MALES.50.59,MALES,50,59,65198.0,79720.0,54.5,MALES.60.69,MALES,60,69,38058.0,46189.0,74.5,0.708441976747753
74.5,MALES.60.69,MALES,60,69,38058.0,46189.0,64.5,MALES.70.79,MALES,70,79,13154.0,15415.0,84.5,0.4050396762835672
84.5,MALES.70.79,MALES,70,79,13154.0,15415.0,74.5,MALES.80.89,MALES,80,89,4374.0,4620.0,94.5,0.3512239622928387
94.5,MALES.80.89,MALES,80,89,4374.0,4620.0,84.5,MALES.90.99,MALES,90,99,1210.0,1317.0,104.5,0.3010973936899863
104.5,MALES.90.99,MALES,90,99,1210.0,1317.0,94.5,MALES.99.110,MALES,99,110,606.0,671.0,114.5,0.5545454545454546
