Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Favorable,Unfavorable,Undecided,Pollster URL,Source URL,Partisan,Affiliation
Morning Consult,2016-07-08,2016-07-10,2016-07-11T16:42:29Z,2001,Registered Voters,Internet,38,58,5,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24853,https://morningconsult.com/2016/07/11/voters-largely-unmoved-potential-vp-picks-poll-shows/,Nonpartisan,None
NBC/SurveyMonkey,2016-07-04,2016-07-10,2016-07-12T14:29:32Z,7869,Registered Voters,Internet,36,62,2,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-24859,https://www.scribd.com/document/318010091/NBC-News-SurveyMonkey-Toplines-and-Methodology-7-4-7-10,Nonpartisan,None
Ipsos/Reuters,2016-07-02,2016-07-06,2016-07-07T14:25:34Z,1345,Registered Voters,Internet,41,59,,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24829,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical7062016.pdf,Nonpartisan,None
YouGov/Economist,2016-07-02,2016-07-04,2016-07-06T14:29:45Z,1300,Adults,Internet,32,65,4,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24823,https://today.yougov.com/news/2016/07/06/clinton-maintains-her-lead-particularly-negative-r/,Nonpartisan,None
Morning Consult,2016-06-30,2016-07-04,2016-07-05T19:55:24Z,2001,Registered Voters,Internet,40,57,3,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24822,https://morningconsult.com/2016/07/05/clinton-trump-nearly-tied-new-survey/,Nonpartisan,None
IBD/TIPP,2016-06-24,2016-06-29,2016-06-30T17:35:32Z,837,Registered Voters,Live Phone,37,62,1,http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-24805,http://www.investors.com/politics/trump-holds-ground-against-clinton-ties-her-in-a-four-way-matchup/,Nonpartisan,None
Ipsos/Reuters,2016-06-25,2016-06-29,2016-06-30T14:40:40Z,1247,Registered Voters,Internet,39,61,,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24802,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical.pdf,Nonpartisan,None
Suffolk/USA Today,2016-06-26,2016-06-29,2016-07-05T13:58:23Z,1000,Likely Voters,Live Phone,31,60,9,http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-24813,http://www.suffolk.edu/academics/10741.php,Nonpartisan,None
PPP (D),2016-06-27,2016-06-28,2016-06-30T14:34:58Z,853,Likely Voters,IVR/Online,35,58,8,http://elections.huffingtonpost.com/pollster/polls/ppp-d-24801,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_63016.pdf,Pollster,Dem
YouGov/Economist,2016-06-24,2016-06-27,2016-06-29T14:15:26Z,1300,Adults,Internet,33,66,2,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24795,https://today.yougov.com/news/2016/06/29/yougoveconomist-poll-june-24-27-2016/,Nonpartisan,None
Morning Consult,2016-06-24,2016-06-27,2016-06-27T16:04:16Z,4001,Registered Voters,Internet,39,57,4,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24776,https://morningconsult.com/2016/06/27/clinton-gains-polls-voters-still-favor-trump-grow-economy/,Nonpartisan,None
Quinnipiac,2016-06-21,2016-06-27,2016-06-29T14:00:13Z,1610,Registered Voters,Live Phone,34,57,8,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-24794,https://www.qu.edu/images/polling/us/us06292016_Utwkv93x.pdf,Nonpartisan,None
NBC/WSJ,2016-06-19,2016-06-23,2016-06-27T21:11:14Z,1000,Registered Voters,Live Phone,29,60,11,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-24784,https://www.scribd.com/doc/316881192/Nbcwsj-June-Poll,Nonpartisan,None
Ipsos/Reuters,2016-06-18,2016-06-22,2016-06-23T14:35:33Z,1339,Registered Voters,Internet,42,58,,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24752,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical6222016.pdf,Nonpartisan,None
YouGov/Economist,2016-06-18,2016-06-20,2016-06-22T15:37:22Z,1300,Adults,Internet,35,61,3,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24739,https://today.yougov.com/news/2016/06/21/national-clinton-leads-trump-four/,Nonpartisan,None
Morning Consult,2016-06-15,2016-06-20,2016-06-20T20:29:18Z,3891,Registered Voters,Internet,40,57,3,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24717,https://morningconsult.com/2016/06/20/poll-orlando-huge-spike-voters-concerns-security/,Nonpartisan,None
CNN,2016-06-16,2016-06-19,2016-06-21T11:23:41Z,1001,Adults,Live Phone,38,60,2,http://elections.huffingtonpost.com/pollster/polls/cnn-24723,http://i2.cdn.turner.com/cnn/2016/images/06/21/rel7b.-.2016.general.pdf,Nonpartisan,None
Gallup,2016-06-13,2016-06-19,2016-06-21T21:22:53Z,3560,Adults,Live Phone,31,64,,http://elections.huffingtonpost.com/pollster/polls/gallup-24733,http://www.gallup.com/poll/193043/trump-image-slips-clinton-holds-steady.aspx?utm_source=twitterbutton&utm_medium=twitter&utm_campaign=sharing,Nonpartisan,None
Monmouth University,2016-06-15,2016-06-19,2016-06-20T17:03:04Z,803,Registered Voters,Live Phone,28,57,15,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-24712,http://www.monmouth.edu/assets/0/32212254770/32212254991/32212254992/32212254994/32212254995/30064771087/568faad2-81ab-4bd0-b373-8577326e76bd.pdf,Nonpartisan,None
Ipsos/Reuters,2016-06-11,2016-06-15,2016-06-16T15:24:10Z,1323,Registered Voters,Internet,41,59,,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24692,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical615.pdf,Nonpartisan,None
