Description,Total,Total M,(Master) November 2016 Likely Voters,(Master) November 2016 Likely Voters M, 
Total,,,,, 
Total,79791,47846,68348,42044,85.7%
Demographic Options,,,,,#DIV/0!
Dem,43154,29848,37527,26366,87.0%
Rep,16741,12063,15372,11117,91.8%
Other (Not DEM or REP),19896,16330,15449,12902,77.6%
Libertarian,563,539,437,416,77.6%
Reform,0,0,0,0,#DIV/0!
Green,1094,1034,940,884,85.9%
Peace & Freedom,227,220,162,155,71.4%
Natural Law,0,0,0,0,#DIV/0!
American Independent,1755,1646,1369,1286,78.0%
Miscellaneous Parties,305,290,253,239,83.0%
Non-Partisan DTS,15952,13406,12288,10464,77.0%
Independent,18012,14915,13910,11703,77.2%
Dem,48076,32515,42244,28990,87.9%
Rep,18131,12964,16705,11987,92.1%
Minor Party Conservative,563,539,437,416,77.6%
Minor Party Liberal,1321,1249,1102,1034,83.4%
Pure Dem Households,30379,20105,26464,17676,87.1%
Pure Rep Households,10300,6802,9494,6277,92.2%
Permanent Vote By Mail,55466,36452,48278,32026,87.0%
NOT Permanent Vote By Mail,24325,17455,20070,14404,82.5%
1 Absentee Votes (1 AVS),53723,34670,52674,34010,98.0%
1 AVS or PAV,62980,39961,55645,35667,88.4%
2 Absentee Votes (2 AVS),44818,29503,44394,29231,99.1%
2 AVS or PAV,59988,38539,52760,34211,88.0%
3 Absentee Votes (3 AVS),37625,25283,37451,25169,99.5%
3 AVS or PAV,58547,37871,51347,33521,87.7%
1 VBM Excluding PVBM,70534,43585,65377,40711,92.7%
2 VBM Excluding PVBM,64621,40692,59982,37978,92.8%
3 VBM Excluding PVBM,58869,37916,54452,35228,92.5%
Home Phone,44476,26832,41846,25778,94.1%
*Wireless Phone,15087,12511,10947,9306,72.6%
*Emails (All),23680,19215,18490,15451,78.1%
Registrar Emails,23680,19215,18490,15451,78.1%
*Enhanced Emails,5161,4910,5000,4757,96.9%
Homeowner,44023,26300,41488,25321,94.2%
Probable Renter,3912,3353,2630,2310,67.2%
*Mobilehome,1806,1369,1429,1118,79.1%
Average Income < $50000,2547,1728,2081,1447,81.7%
Average Income $50k - $100k,34772,21364,29316,18499,84.3%
Average Income > $100000,28676,16303,25326,14801,88.3%
Education - Graduate Plus,36053,20389,31718,18509,88.0%
Education - College Grad,26576,16118,22432,13943,84.4%
Education - Some College,3500,2252,2694,1784,77.0%
Education - High School Grad,12963,8616,10884,7386,84.0%
Education - Some High School,612,409,548,370,89.5%
Female,38488,33551,33402,29789,86.8%
Male,35174,30585,30200,26922,85.9%
Gender Unknown,6129,5769,4746,4511,77.4%
Age 18-24,5100,4518,2314,2124,45.4%
Age 25-34,8906,7397,6068,5191,68.1%
Age 35-44,8323,6856,6450,5339,77.5%
Age 45-54,11694,9638,10151,8341,86.8%
Age 55-64,18519,14895,17119,13759,92.4%
Age 65 /No Age,27249,20179,26246,19429,96.3%
Foreign Born,5775,4932,4882,4198,84.5%
